游戏服务器,所属游戏,文件夹,启动程序,配置文件
,常德字牌,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\ChangDeZiPaiServer.exe,D:\Game_湖南_普通场new\常德字牌.xml
,常德麻将,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\ChangDeMJServer.exe,D:\Game_湖南_普通场new\常德麻将.xml
,娄底放炮罚,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\LouDiFangPaoFaServer.exe,D:\Game_湖南_普通场new\娄底放炮罚.xml
,湖南红中麻将,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\HongZhongMJServer.exe,D:\Game_湖南_普通场new\红中麻将.xml
,怀化红拐弯,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\HWZiPaiServer.exe,D:\Game_湖南_普通场new\怀化红拐弯.xml
,郴州字牌,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\ChenZhouZiPaiServer.exe,D:\Game_湖南_普通场new\郴州字牌.xml
,转转麻将new,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\ZhuanZhuanMJServer.exe,D:\Game_湖南_普通场new\转转麻将.xml
,邵阳剥皮,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\ShaoYangBoPiServer.exe,D:\Game_湖南_普通场new\邵阳剥皮.xml
,岳阳麻将new,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\YueYangCGMJServer.exe,D:\Game_湖南_普通场new\岳阳炒股麻将.xml
,攸县字牌,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\YouXianZiPaiServer.exe,D:\Game_湖南_普通场new\攸县字牌.xml
,益阳麻将,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\YiYaMJServer.exe,D:\Game_湖南_普通场new\益阳麻将.xml
,邵阳麻将,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\ShYaMJServer.exe,D:\Game_湖南_普通场new\邵阳麻将.xml
